Name, Cost, Damage, Weight, Properties
# Simple Melee Weapons
Club, 1 sp, 1d4 bludgeoning, 2lb, Light
Dagger, 2 gp, 1d4 piercing, 1lb, Finesse. light. thrown (range 20/60)
Greatclub, 2 sp, 1d8 bludgeoning, 10lb, Two-handed
Handaxe, 5 gp, 1d6 slashing, 2lb, Light. thrown (range 20/60)
Javelin, 5 sp, 1d6 piercing, 2lb, Thrown (range 30/120)
Light hammer, 2 gp, 1d4 bludgeoning, 2 lb, Light. thrown (range 20/60)
Mace, 5 gp, 1d6 bludgeoning, 4 lb, --
Quarterstaff, 2 sp, 1d6 bludgeoning, 4 lb, Versatile (1d8)
Sickle, 1 gp, 1d4 slashing, 2lb, Light
Spear, 1 gp, 1d6 piercing, 3lb, Thrown (range 20/60). versatile (1d8)
Unarmed Strike, --, 1 bludgeoning, --, --